Temperatur ,TDS,TSS,pH,BOD,COD,DO,CurahHujan,kelas
30.1,108.2,9.5,7.8,6.9,17.2,5.1,8.45,3
26.7,108.2,18.2,7.6,14.6,39.9,5,8.45,4
29.6,108.2,117.7,8,11.2,34.3,5.2,3.43,3
29.8,108.2,66.1,7.3,12.9,32.8,5.2,3.43,4
29,108.2,94.3,7.8,8.6,26,5.3,7.39,3
26.2,108.2,36,8.1,9.1,27.5,6.8,7.39,3
27.7,108.2,49.4,7.6,8.2,24.9,4.7,3.5,3
28.9,108.2,54.4,7.4,9.2,27.8,5,3.5,3
29.2,108.2,61.2,7.8,8.6,20.9,5.4,0,3
26.1,108.2,20,7.6,8.2,24.3,6.1,0,3
24.3,108.2,11.3,6.8,7.6,21.8,6.6,0.03,3
26.1,108.2,11.1,7.6,7.4,19.6,6.1,0.03,3
26.1,277,5.8,6.8,6.6,19.9,5.5,0,3
27,277,6.3,7.6,7.7,19.3,5.5,0,3
29.5,277,6.3,7.7,8,21,6.2,0,3
30.1,277,9.4,7.8,7.9,19.2,5.6,0,3
28.4,277,6.4,7.2,8.1,22.8,4.5,0,3
25.8,277,22.1,7.4,7.5,18.7,5.8,0,3
27,277,429.5,7.1,8,19.9,3.9,0,4
28.6,277,42.1,7,8.7,20.8,5.2,0,3
28,277,9.5,8,7.4,20.4,4,1.47,3
26.8,277,9.2,7.2,8,24.5,6.8,1.47,3
30.1,277,156.2,7.6,7.9,23.3,5.4,8.23,3
28.5,277,90.1,7.2,8.6,28.3,5.5,8.23,3
28.5,107,35.7,7.6,7.6,24.3,4.7,4.39,3
27,107,10.7,7.2,8.5,22.2,6.2,4.39,3
30,107,71.3,7.7,7.2,21.5,4.6,4.62,3
28,107,147.3,7.2,7.95,26.6,5.8,4.62,3
29.6,107,407.8,7.7,8.7,33.1,4.9,6.55,4
28,107,172.4,7.2,7.7,22.1,5.8,6.55,3
29.2,107,93.7,6.8,7.6,20.5,4,2.23,3
28.9,107,95.3,7.6,8,21.9,4.8,2.23,3
29.2,107,28,7.3,8.3,26.8,5.7,5.81,3
28.5,107,39.2,7.1,8.6,24.9,5.5,5.81,3
28.5,107,37.2,7.8,8.3,26.9,5,0.97,3
29.2,107,12.9,7.1,8,21,6,0.97,3
29.8,168,362.5,7.6,11,31.3,4.2,0.1,3
28.3,168,21.2,7.5,7.9,22.3,4.6,0.1,3
28,168,22.8,7.7,7.3,20.5,5,0.39,3
27.5,168,29.8,7.6,7.8,25.2,5.5,0.39,3
28.4,168,20.3,7.6,7.6,23.3,4.7,1.3,3
28,168,30.7,6.9,7.1,22.7,5.8,1.3,3
29,168,60.3,6.8,8.7,23.2,5.6,3.94,3
26.9,168,35.6,6.6,7.3,28.8,4.2,3.94,3
29,168,293.3,6.9,7.1,30.7,4.6,4.57,3
29,168,174.7,7.6,7.6,25.5,4.6,4.57,3
29,168,152,7.5,7.4,25.55,4.95,3.65,3
29,168,129.3,7.4,7.2,25.6,5.3,3.65,3
28.5,189.6,47.6,7.1,8.1,24.6,6.4,3.26,3
28.9,189.6,139.3,7.4,7.4,24.5,5.2,3.26,3
28,189.6,57,7.4,10.7,31.4,4.3,1.39,3
27.4,189.6,238.9,7.1,11.9,39.3,6.9,1.39,3
28,189.6,58.9,7.6,10.7,31.1,5,1.87,3
29,189.6,138.7,7.1,8.4,28.5,6.5,1.87,3
29,189.6,239.9,7.8,8.5,27.2,6.2,1.8,3
27,189.6,133,7.2,8.2,26,6,1.8,3
28.5,189.6,10.1,7.2,7.1,24.3,5.8,0.13,3
28.6,189.6,9.8,7.5,7.3,22.5,4.9,0.13,3
29.1,189.6,8.4,7.4,7,27.9,5.1,0.1,3
28.7,189.6,14,7.4,6.4,21.3,6.2,0.1,3
27,227.6,29.3,7.4,8.3,25.4,5.5,0,3
27,227.6,8.9,7,8.3,24.3,6.5,0,3
25,227.6,24.9,7.4,7.2,22.5,6,0,3
28.5,227.6,15.5,7.6,7.4,26.1,5.4,0,3
28,227.6,12.5,7.8,6.6,26.1,4.8,5.33,3
26.8,227.6,126.2,7.5,7.7,23.1,5.3,5.33,3
29,227.6,117.5,7.7,8.5,26,4,2.45,3
27.1,227.6,15,7.2,8.3,25,5.1,6.29,3
28,227.6,127.9,7.4,7.7,24.2,5.4,6.29,3
29.4,280,13,7,7.7,20.3,4.2,3.74,3
28,280,13,6.4,3,22,4.1,3.74,3
28.2,280,258,7.5,4.5,20.9,4.3,2.45,3
28.7,280,162.6,6.9,2.8,14.1,4.3,2.45,3
28.9,280,110,6.7,3.4,10.5,3.8,6.55,3
28,280,306.7,7.4,4.8,32,3.8,6.55,3
29,280,230,6.9,3.1,30.1,4.1,3.25,3
28.9,280,230,7.7,6.6,42.8,3.9,3.25,4
29.4,280,135,7.3,3.3,25.9,3.6,1.17,3
29.4,280,33.5,7.3,2,16.8,3.8,1.17,3
30.2,280,23,7.1,3.6,12.1,1.7,0,4
29.2,280,18,7.9,4.2,13.4,3.7,0,3
27.2,260,15,7.2,1.7,12.6,3.2,0.08,3
29.2,260,18,7.5,1.6,14.5,3.8,0.08,3
27.6,260,32,7.1,2.1,26.4,2.9,0,4
28.3,260,48,7.6,3.1,26.7,3.5,0,3
28.4,260,13,7.4,2.2,21.3,4,0,2
27.2,260,82,7.2,2.4,17,4.5,0,2
28.6,260,17,7.5,2.8,15.7,3.8,0.56,3
31.6,260,21,6.9,4.8,16.1,4.1,0.56,3
31.1,260,20,7.3,3.6,25.2,3.1,0.25,3
30.3,260,12,7.7,4.8,15.4,2.4,0.25,4
28.3,260,5,7.4,3.2,12.3,3.2,0.33,3
30.6,260,17,7.3,4.2,23.2,3.7,0.33,3
28.3,244,316,7.1,8.5,49.8,4,0.51,4
28,244,148,7.5,5.1,24.3,3.5,0.51,3
29.5,244,302,7.2,4.5,30.5,4.1,3.6,3
28.3,244,214,6.7,3.5,33.1,4,3.6,3
28.8,244,260,7.2,9.6,27.1,3.3,2.46,3
31.2,244,218,6.8,9,35.1,3.9,2.46,3
29.6,244,380,7,6.1,32.8,3.9,3.29,3
30.1,244,45,6.7,3.5,24.5,3.7,3.29,3
30.1,244,60,7.2,3.2,17.5,4,2.4,3
30.8,244,65,7.1,3.9,24.9,3.4,2.4,3
29.6,244,92,6.9,3.2,17.5,3.9,0.11,3
28.8,244,98,6.5,5,21.8,3.8,0.11,3
28.4,299,25,7,4.8,19,4.2,0.04,2
28.9,299,18.4,6.8,6,26.2,4,0.04,3
27.8,299,11,8,4.1,22.7,3.9,0.07,3
30.8,299,24,7.1,6.6,24.3,4,0.07,3
29.1,299,20,7.8,3.3,19.4,3.9,0,3
31,299,16,7.2,4,22.1,3.8,0,3
26.9,299,7,7.2,2.9,15.3,1.2,2.14,4
30.2,299,14,7.7,5.1,20.3,1.8,2.14,4
30.2,299,208,7.7,4.9,22.5,3.8,37.5,3
31,299,24,7.1,4.5,21,3.9,37.5,3
29.4,299,128,7.1,5.3,21.6,3.9,11.05,3
28.6,299,406.7,7.1,4.6,30.7,3.8,11.05,4
28.8,340,186,6.6,3.7,26.2,3.9,2.99,3
26.8,340,900,6.8,4.9,38.4,3.6,2.99,4
27.2,340,310,7.7,5.2,26.9,3.8,9.09,3
29.7,340,206,6.9,70,487,4.2,9.09,4
27.1,340,306,7.2,5.4,24.95,4.1,11.9,3
27.1,340,853.3,6.7,6.3,40.5,4.2,11.9,4
28.7,340,330,7.5,4.2,24.2,4.1,6.33,3
28.3,340,170,7,3.7,28.6,4,6.33,3
29.2,340,70,7.2,6,25.4,4.2,1.74,3
30.5,340,26,7.6,8.8,30.4,4.2,1.74,3
28.8,340,41,7.4,6.1,23.2,4.2,3.7,3
29.4,340,30,7.5,4.2,26,4.2,3.7,3
28.4,304,47,7.2,4.2,17.5,3.4,0.97,3
27.5,304,32,7.3,3.1,22,3.5,0.97,3
29,304,9,7.1,3,18.1,2.3,0.55,4
29.7,304,27,7.7,3,20.2,3.6,0.55,3
29.8,304,19,7.8,4,24,3.8,2.8,3
28,304,62,7.5,4.9,18.4,3.7,2.8,3
29.1,304,19,7.7,4,19.5,3.9,0.39,3
29.5,304,25,7.7,6.1,23.7,4,0.39,3
29.7,304,63,7.5,4.7,20,3.5,17.13,3
29.4,304,71,7.3,6.6,23.6,3.8,17.13,3
27.5,304,965,7.7,8.2,47.3,3.7,8.77,4
28.2,304,176,7.3,6.9,30.4,3.7,8.77,3
28.8,624,38,7.1,9.5,19.7,2.9,13.66,4
30.6,624,50,6.5,7.1,38.7,3.1,13.66,3
27.7,624,174,7.2,27.7,48.4,0.9,9.96,5
28.7,624,36,6.8,9.5,44.5,0.9,9.96,5
30,624,79,6.6,28.2,112.3,2.8,12.35,4
27.7,624,82,7,4.9,36.2,2.8,12.35,4
29.2,624,103,7.3,10.9,40.4,3.3,8.68,4
29,624,103,7.7,22.9,52.3,2.5,8.68,4
30.3,624,131,7,6.7,35.2,3.6,2.92,3
30.3,624,33,7.6,14.1,47.4,2.4,2.92,4
30.9,624,15,7.4,3.8,14.6,1.6,0.17,4
29,624,14,8,4.3,17.2,2.6,0.17,4
29.8,776,25,7.1,23,41.9,0.9,0.89,5
29.1,776,33,7.2,20.3,66.3,0.8,0.89,5
26.9,776,54,7.1,8.8,34.3,1.6,0.1,4
28.1,776,45,7.6,27.4,66.5,3.1,0.1,4
28.9,776,216,7.4,28.8,219.5,0.4,0.04,5
27.7,776,10,6.4,36,421.1,1.5,0.04,4
28.6,776,18,7.1,16.9,95.2,2.8,1.48,4
31.9,776,24,7.4,14.3,43.4,0.1,1.48,5
32,776,46,7.3,71.4,670.3,3.1,2.47,4
30.7,776,39,6.8,36.1,313.7,0.3,2.47,5
28.5,776,30,7,52.7,140.1,0.1,6.89,5
31.8,776,58,7.1,77.6,274.6,2.3,6.89,4
28.4,612,36,6.9,12.7,98.9,3.3,5.62,4
28,612,32,6.9,6.8,27.8,2.3,5.62,4
30,612,94,7.2,7,40.4,2.5,19.91,4
28.2,612,29,6.9,10,33.4,1.9,19.91,4
28.9,612,202,7.2,12.6,42.4,1,7.74,4
30.6,612,33,7.1,30,113.3,2.1,7.74,4
28.6,612,300,7,69.9,376.2,2.8,11.47,4
30,612,68,6.8,35.1,133.1,3.6,11.47,4
30.4,612,44,7,30.1,244.3,3,5.53,4
29.9,612,47,7.7,53.3,358.5,3.1,5.53,4
29.2,612,19,7.4,29.6,122.1,2,0.93,4
28.6,612,21,7.1,35,162.7,2.2,0.93,4
29,718.7,39,6.9,132.3,460.9,2.4,0.47,4
27.8,718.7,60,7.4,26.7,71.6,3.2,0.47,4
28.4,718.7,60,7.5,55.3,497.9,2.3,1.63,4
30.1,718.7,56,6.7,51.2,215.5,2.7,1.63,4
30.4,718.7,52,7,149.6,891.2,1.2,0.02,4
31.1,718.7,260,6.9,321.8,1366,0.7,0.02,5
27.3,718.7,40,6.9,147.4,629.8,0.4,4.13,5
30.1,718.7,62,7.1,69.3,226.9,0.8,4.13,5
29.7,718.7,48,7.7,40.1,104.9,1.8,5.65,4
33.4,718.7,174,7,173.4,677.1,2,5.65,4
29.4,718.7,39,7,192.7,650.6,2,16.1,4
28.5,718.7,51,6.8,11.8,59.7,2.3,16.1,4
27.6,712,93,7.2,7.3,48,2.9,23.23,4
26.6,712,180,7.1,4.3,25.9,4,23.23,3
27.4,712,47,7.5,14.9,85.9,2.5,8.63,4
29.4,712,49,6.8,17.5,64.8,3.3,8.63,4
27.2,712,49,7.2,48.9,111.9,2.9,11.35,4
27.1,712,240,6.6,4.4,32.8,3.5,11.35,3
29.3,712,51,7.4,11.7,50.7,3,4.25,4
28.3,712,158,6.9,4.5,26.9,3.5,4.25,3
30,712,52,7.2,98.9,628.7,3.2,0.31,4
30.1,712,22,7.6,41.6,147.9,2.8,0.31,4
31,712,47,7.5,28.5,177.2,3,4.35,4
29,712,43,7.4,252.3,619.4,3.2,4.35,4
28,988,55,7.1,31,108.8,2,0.55,4
27.2,988,56,7.3,41,125.6,1.6,0.55,4
30.6,988,82,6.9,99.4,440.7,1,0.31,4
30.6,988,102,6.9,62.7,314.7,1.1,0.31,4
30.9,988,50,7.2,105.4,413.4,0.7,2.67,5
28.5,988,33,7.1,67.2,365.2,1,2.67,4
29.6,988,76,7.6,185.6,517.9,1.7,0.39,4
30.3,988,94,7.1,50.1,276.5,2.1,0.39,4
29.9,988,94,7.3,78,278.7,0.9,23.43,5
30.8,988,64,7.4,51.7,322.9,1.7,23.43,4
28.2,988,425,7.4,17.2,90.9,1.6,13.39,4
29,988,60,7.4,11.3,33.7,1.2,13.39,4
